# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
anthro fingering	1166	-
intersex penetrating herm	1164	-
threaded by penis	1162	-
monotone anus	1161	-
tail cuff	1159	-
balls on ground	1154	-
darkened vulva	1149	-
faux gaping	1149	-
cum on muzzle	1149	-
leashed pov	1137	-
chair bondage	1136	-
mutual penetration	1134	-
mindfuck	1131	-
gynomorph pov	1127	-
sideways oral	1125	-
interspecies pregnancy	1116	-
saliva on balls	1116	-
male rimming	1115	-
brother penetrating brother	1114	-
dildo in mouth	1113	-
penis blush	1112	-
uneven balls	1112	-
kneeling sex	1108	-
step position	1107	-
titfuck under clothes	1106	-
two-handed masturbation	1105	-
anus outline	1100	-
offering sex	1100	-
snowballing	1100	-
genital danger play	1098	-
cum taste	1097	-
slit penis	1094	-
sentient penis	1092	-
spiked cock ring	1089	-
sucking tip	1086	-
glory balls	1086	-
only one nude	1085	-
vaginal orgasm	1085	-
rubbing penis	1084	-
penis on butt	1083	-
dildo fellatio	1075	-
pregnant gynomorph	1074	-
pussy stacking	1064	-
dripping wet	1063	-
submissive ambiguous	1062	-
bed bondage	1061	-
cum trail	1060	-
object in pussy	1059	-
forced spreading	1058	-
nude andromorph	1055	-
intersex humanoid	1050	-
prehensile clitoral hood	1050	-
shimaidon (sex)	1049	sex_acts
kissing while penetrating	1046	-
cum on own belly	1046	-
bulge grab	1038	-
bisexual sandwich	1037	-
asymmetrical breast frottage	1035	-
sharing sex toy	1035	-
glowing anus	1033	-
bottomless gynomorph	1032	-
intersex taur	1031	-
bulge frottage	1030	-
tentacles everywhere	1022	-
genital markings	1021	-
countershade breasts	1014	-
side butt	1012	-
barely visible nipples	1009	-
assertive anthro	1006	-
clitoral hood piercing	1000	-
offscreen sex	994	-
oversized fellatio	989	-
maleherm/male	989	-
button pop	982	-
rimming request	977	-
mismatched animal genitalia	976	-
handjob frottage	973	-
anal bead pull	972	-
ursine penis	971	-
tail penis	971	-
cum on own leg	971	-
castration	970	-
obese ambiguous	969	-
living sex doll	968	-
erection under skirt	966	-
cum on neck	964	-
kissing while penetrated	958	-
average penis	958	-
unwanted impregnation	957	-
penis tongue	956	-
autofellatio while penetrated	956	-
chastity bulge	954	-
ball squish	951	-
rubbing pussy	947	-
penis nursing	946	-
cum spurt	943	-
paired penetration	943	-
cum tube	942	-
tea bagging	941	-
lube on dildo	939	-
cum on fur	938	-
flashing pussy	937	-
strapon insertion	936	-
pubes exposed	936	-
looking at own breasts	935	-
furry balls	934	-
penis in cloaca	934	-
male fingering male	930	-
riding dildo	929	-
herm/herm	928	-
genital tattoo	927	-
milking tentacles	924	-
partial nudity	921	-
gynomorph humanoid	919	-
clothed ambiguous	914	-
musky feet	911	-
pussy sounding	909	-
cum in slit	904	-
double cumshot	900	-
newhalf	899	anatomy
balls above penis	898	-
writing on breasts	898	-
sexuality symbol	897	-
sex toy under clothing	894	-
submissive andromorph	894	-
cum in nipples	894	-
humanoid dildo	893	-
lustful gaze	892	-
enhibitionism	890	-
sheath outline	887	-
penis sniffing	887	-
nipples touching	886	-
countershade belly	886	-
face tentacles	882	-
fondling internal bulge	882	-
breeding request	882	-
areola outline	880	-
slapping own butt	878	-
cheating wife	877	-
robe only	876	-
huge teats	876	-
penis creature	870	-
tail in own ass	869	-
younger intersex	868	-
sex toy in urethra	867	-
cum in bucket	867	-
heart nipples	866	-
cockslap	864	-
non-mammal lactation	863	-
gynomorph focus	862	-
double oral	860	-
prey penetrating predator	860	-
barely contained penis	859	-
triangle position	858	-
distracted sex	858	-
chastity piercing	855	-
leashed top	852	-
strapon in pussy	850	-
nipple sex	850	-
self suckle	849	-
defeat sex	847	-
hyper sheath	847	-
leashed male	847	-
cum in sex toy	847	-
rapid pregnancy	845	-
